,AAPL,capital_used,ending_cash,ending_value,long_mavg,orders,period_close,period_open,pnl,portfolio_value,positions,returns,short_mavg,starting_cash,starting_value,transactions
2011-08-03 20:00:00,52.679131,0.0,99027.6010614,5267.9131,42.1134025867,[],2011-08-03 20:00:00+00:00,2011-08-03 13:31:00+00:00,49.1137,104295.514161,"[{'amount': 100, 'last_sale_price': 52.679131000000005, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",0.000471130895481,46.56624755,99027.6010614,5218.7994,[]
2011-08-04 20:00:00,50.639437,0.0,99027.6010614,5063.9437,42.1688768967,[],2011-08-04 20:00:00+00:00,2011-08-04 13:31:00+00:00,-203.9694,104091.544761,"[{'amount': 100, 'last_sale_price': 50.639437, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",-0.00195568718022,46.59819829,99027.6010614,5267.9131,[]
2011-08-05 20:00:00,50.136227,0.0,99027.6010614,5013.6227,42.2210948833,[],2011-08-05 20:00:00+00:00,2011-08-05 13:31:00+00:00,-50.321,104041.223761,"[{'amount': 100, 'last_sale_price': 50.136227000000005, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",-0.000483430235523,46.63602663,99027.6010614,5063.9437,[]
2011-08-08 20:00:00,47.397394,0.0,99027.6010614,4739.7394,42.2624165767,[],2011-08-08 20:00:00+00:00,2011-08-08 13:31:00+00:00,-273.8833,103767.340461,"[{'amount': 100, 'last_sale_price': 47.397394, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",-0.00263244981266,46.66715873,99027.6010614,5013.6227,[]
2011-08-09 20:00:00,50.188557,0.0,99027.6010614,5018.8557,42.31164657,[],2011-08-09 20:00:00+00:00,2011-08-09 13:31:00+00:00,279.1163,104046.456761,"[{'amount': 100, 'last_sale_price': 50.188557, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",0.00268982802064,46.71998954,99027.6010614,4739.7394,[]
2011-08-10 20:00:00,48.803709,0.0,99027.6010614,4880.3709,42.3566316667,[],2011-08-10 20:00:00+00:00,2011-08-10 13:31:00+00:00,-138.4848,103907.971961,"[{'amount': 100, 'last_sale_price': 48.803709000000005, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",-0.00133099006262,46.76429919,99027.6010614,5018.8557,[]
2011-08-11 20:00:00,50.146955,0.0,99027.6010614,5014.6955,42.40929694,[],2011-08-11 20:00:00+00:00,2011-08-11 13:31:00+00:00,134.3246,104042.296561,"[{'amount': 100, 'last_sale_price': 50.146955, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",0.00129272660667,46.81046063,99027.6010614,4880.3709,[]
2011-08-12 20:00:00,50.58844,0.0,99027.6010614,5058.844,42.4656792633,[],2011-08-12 20:00:00+00:00,2011-08-12 13:31:00+00:00,44.1485,104086.445061,"[{'amount': 100, 'last_sale_price': 50.588440000000006, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",0.000424332232747,46.85848732,99027.6010614,5014.6955,[]
2011-08-15 20:00:00,51.449951,0.0,99027.6010614,5144.9951,42.5256534567,[],2011-08-15 20:00:00+00:00,2011-08-15 13:31:00+00:00,86.1511,104172.596161,"[{'amount': 100, 'last_sale_price': 51.449951, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",0.000827687985205,46.91782639,99027.6010614,5058.844,[]
2011-08-16 20:00:00,51.056773,0.0,99027.6010614,5105.6773,42.587059,[],2011-08-16 20:00:00+00:00,2011-08-16 13:31:00+00:00,-39.3178,104133.278361,"[{'amount': 100, 'last_sale_price': 51.056773, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",-0.00037742939553,46.96547744,99027.6010614,5144.9951,[]
