Date,High,Open,Low,Close
2014-01-03 00:04:00+00:00,1.36632,1.36632,1.36598,1.36609
2014-01-03 00:05:00+00:00,1.36607,1.36607,1.36598,1.36598
2014-01-03 00:06:00+00:00,1.36599,1.36622,1.36599,1.36619
2014-01-03 00:07:00+00:00,1.36618,1.36618,1.36608,1.3661
2014-01-03 00:08:00+00:00,1.36612,1.36612,1.36609,1.3661
2014-01-03 00:09:00+00:00,1.36611,1.36618,1.36609,1.36618
2014-01-03 00:10:00+00:00,1.36616,1.36617,1.366,1.366
2014-01-03 00:11:00+00:00,1.36602,1.36618,1.366,1.36617
2014-01-03 00:12:00+00:00,1.3662,1.36629,1.36619,1.36619
2014-01-03 00:13:00+00:00,1.3662,1.36622,1.36618,1.3662
2014-01-03 00:14:00+00:00,1.36619,1.36619,1.3661,1.36611
2014-01-03 00:15:00+00:00,1.36612,1.36612,1.36608,1.36608
2014-01-03 00:16:00+00:00,1.36609,1.36609,1.366,1.36602
2014-01-03 00:17:00+00:00,1.36599,1.36602,1.36593,1.36593
2014-01-03 00:18:00+00:00,1.36592,1.36593,1.36584,1.36589
2014-01-03 00:19:00+00:00,1.36592,1.36592,1.36582,1.36584
2014-01-03 00:20:00+00:00,1.36582,1.36584,1.3658,1.3658
2014-01-03 00:21:00+00:00,1.36579,1.36579,1.36568,1.36568
2014-01-03 00:22:00+00:00,1.36569,1.36581,1.36569,1.36581
2014-01-03 00:23:00+00:00,1.36582,1.36584,1.36581,1.36584
2014-01-03 00:24:00+00:00,1.36585,1.36592,1.36582,1.36582
2014-01-03 00:25:00+00:00,1.36583,1.36592,1.36583,1.36591
2014-01-03 00:26:00+00:00,1.36593,1.36604,1.36592,1.36604
2014-01-03 00:27:00+00:00,1.36605,1.36605,1.36602,1.36604
2014-01-03 00:28:00+00:00,1.36602,1.36605,1.36588,1.36589
2014-01-03 00:29:00+00:00,1.36592,1.36592,1.3657,1.36572
2014-01-03 00:30:00+00:00,1.36571,1.36574,1.36514,1.36515
2014-01-03 00:31:00+00:00,1.36513,1.36519,1.36507,1.36511
2014-01-03 00:32:00+00:00,1.3651,1.36533,1.36509,1.3651
2014-01-03 00:33:00+00:00,1.36511,1.36523,1.3651,1.36511
2014-01-03 00:34:00+00:00,1.36512,1.36518,1.3651,1.36512
2014-01-03 00:35:00+00:00,1.36513,1.36513,1.36511,1.36511
2014-01-03 00:36:00+00:00,1.36509,1.36518,1.36509,1.3651
2014-01-03 00:37:00+00:00,1.36508,1.36527,1.36508,1.36514
2014-01-03 00:38:00+00:00,1.36515,1.36526,1.36515,1.36525
2014-01-03 00:39:00+00:00,1.36526,1.36527,1.36521,1.36522
2014-01-03 00:40:00+00:00,1.36521,1.36523,1.36521,1.36523
2014-01-03 00:41:00+00:00,1.36521,1.36526,1.36521,1.36522
2014-01-03 00:42:00+00:00,1.36525,1.36534,1.36522,1.36524
